Organism	Kingdom	Group	SubGroup	Size(Mb)	GC%	Genes	Proteins
Haloferax gibbonsii	Archaea	Euryarchaeota	Halobacteria	4.05732	66.2381	3783	3699
Haloferax larsenii	Archaea	Euryarchaeota	Halobacteria	3.69795	0	0	0
Haloferax lucentense	Archaea	Euryarchaeota	Halobacteria	3.61906	0	0	0
Haloferax mediterranei	Archaea	Euryarchaeota	Halobacteria	3.90471	0	0	0
Haloferax mucosum	Archaea	Euryarchaeota	Halobacteria	3.36898	0	0	0
Haloferax prahovense	Archaea	Euryarchaeota	Halobacteria	3.9988	0	0	0
Haloferax sulfurifontis	Archaea	Euryarchaeota	Halobacteria	3.81243	0	0	0
Haloferax volcanii	Archaea	Euryarchaeota	Halobacteria	4.0129	0	0	0
Halogeometricum borinquense	Archaea	Euryarchaeota	Halobacteria	3.94447	0	0	0
Halogeometricum pallidum	Archaea	Euryarchaeota	Halobacteria	4.38452	0	0	0
Halogranum salarium	Archaea	Euryarchaeota	Halobacteria	4.49231	0	0	0
Halolamina pelagica	Archaea	Euryarchaeota	Halobacteria	2.97254	67.6	3097	2455
Halolamina rubra	Archaea	Euryarchaeota	Halobacteria	2.955	69.0	3004	2736
Halolamina sediminis	Archaea	Euryarchaeota	Halobacteria	2.83586	67.9	2850	2740
Halomicrobium katesii	Archaea	Euryarchaeota	Halobacteria	3.60777	0	0	0
Halomicrobium mukohataei	Archaea	Euryarchaeota	Halobacteria	3.33235	0	0	0
Halonotius	Archaea	Euryarchaeota	Halobacteria	2.88866	0	0	0
Halopenitus	Archaea	Euryarchaeota	Halobacteria	3.24305	0	0	0
Halopiger djelfamassiliensis	Archaea	Euryarchaeota	Halobacteria	3.77655	64.2	3669	3536
Halopiger goleamassiliensis	Archaea	Euryarchaeota	Halobacteria	3.90636	66.1	3774	3671
Halopiger salifodinae	Archaea	Euryarchaeota	Halobacteria	4.3509	65.4	4106	3962
Halopiger xanaduensis	Archaea	Euryarchaeota	Halobacteria	4.35527	0	0	0
Haloplanus natans	Archaea	Euryarchaeota	Halobacteria	3.79793	0	0	0
Haloquadratum	Archaea	Euryarchaeota	Halobacteria	3.01991	0	0	0
Haloquadratum walsbyi	Archaea	Euryarchaeota	Halobacteria	3.26048	0	0	0
Halorhabdus tiamatea	Archaea	Euryarchaeota	Halobacteria	3.14616	0	0	0
Halorhabdus utahensis	Archaea	Euryarchaeota	Halobacteria	3.1168	0	0	0
Halorubrum	Archaea	Euryarchaeota	Halobacteria	2.76746	0	0	0
Halorubrum aidingense	Archaea	Euryarchaeota	Halobacteria	3.10853	0	0	0
Halorubrum arcis	Archaea	Euryarchaeota	Halobacteria	3.3826	0	0	0
Halorubrum californiense	Archaea	Euryarchaeota	Halobacteria	3.68287	0	0	0
Halorubrum coriense	Archaea	Euryarchaeota	Halobacteria	3.64531	0	0	0
Halorubrum distributum	Archaea	Euryarchaeota	Halobacteria	3.30737	0	0	0
Halorubrum ezzemoulense	Archaea	Euryarchaeota	Halobacteria	3.59148	0	0	0
Halorubrum halophilum	Archaea	Euryarchaeota	Halobacteria	3.67798	65.1	3470	3317
Halorubrum hochstenium	Archaea	Euryarchaeota	Halobacteria	3.03753	0	0	0
Halorubrum kocurii	Archaea	Euryarchaeota	Halobacteria	3.61974	0	0	0
Halorubrum lacusprofundi	Archaea	Euryarchaeota	Halobacteria	3.69258	0	0	0
Halorubrum lipolyticum	Archaea	Euryarchaeota	Halobacteria	3.42504	0	0	0
Halorubrum litoreum	Archaea	Euryarchaeota	Halobacteria	3.13776	0	0	0
Halorubrum saccharovorum	Archaea	Euryarchaeota	Halobacteria	3.4237	66.5	3195	2261
Halorubrum tebenquichense	Archaea	Euryarchaeota	Halobacteria	3.32886	0	0	0
Halorubrum terrestre	Archaea	Euryarchaeota	Halobacteria	3.37622	0	0	0
Halosimplex carlsbadense	Archaea	Euryarchaeota	Halobacteria	4.69489	0	0	0
Halostagnicola	Archaea	Euryarchaeota	Halobacteria	3.17849	0	0	0
Halostagnicola larsenii	Archaea	Euryarchaeota	Halobacteria	4.13118	0	0	0
Haloterrigena	Archaea	Euryarchaeota	Halobacteria	0.596279	0	0	0
Haloterrigena jeotgali	Archaea	Euryarchaeota	Halobacteria	4.13162	0	0	0
Haloterrigena limicola	Archaea	Euryarchaeota	Halobacteria	3.52203	0	0	0
Haloterrigena salina	Archaea	Euryarchaeota	Halobacteria	4.84161	0	0	0
Haloterrigena thermotolerans	Archaea	Euryarchaeota	Halobacteria	3.89527	0	0	0
Haloterrigena turkmenica	Archaea	Euryarchaeota	Halobacteria	5.44078	64.0	2991	2540
Halovivax asiaticus	Archaea	Euryarchaeota	Halobacteria	3.23845	0	0	0
Halovivax ruber	Archaea	Euryarchaeota	Halobacteria	3.22388	0	0	0
Hyperthermophilic Archaeal Virus 1	Viruses	dsDNA viruses - no RNA stage	unclassified	0.022743	46.2	40	40
Hyperthermophilic Archaeal Virus 2	Viruses	unclassified archaeal viruses	unclassified	0.017666	52.1	15	15
Hyperthermus butylicus	Archaea	TACK group	Crenarchaeota	1.66716	0	0	0
Ignicoccus hospitalis	Archaea	TACK group	Crenarchaeota	1.29754	0	0	0
Ignicoccus islandicus	Archaea	TACK group	Crenarchaeota	1.39466	0	0	0
Ignisphaera aggregans	Archaea	TACK group	Crenarchaeota	1.87595	0	0	0
Lokiarchaeum sp. GC14_75	Archaea	unclassified Archaea	Archaea candidate phyla	5.14342	31.1	5412	5384
Marine Group I thaumarchaeote SCGC AAA799-B03	Archaea	TACK group	Thaumarchaeota	1.00395	33.7	1370	1346
Marine Group I thaumarchaeote SCGC AAA799-D07	Archaea	TACK group	Thaumarchaeota	0.435918	33.9	580	562
Marine Group I thaumarchaeote SCGC AAA799-D11	Archaea	TACK group	Thaumarchaeota	1.36064	34.3	1771	1732
Marine Group I thaumarchaeote SCGC AAA799-E16	Archaea	TACK group	Thaumarchaeota	1.41532	34.2	1945	1910
Marine Group I thaumarchaeote SCGC AAA799-N04	Archaea	TACK group	Thaumarchaeota	1.29672	34.2	1799	1767
Marine Group I thaumarchaeote SCGC AAA799-O18	Archaea	TACK group	Thaumarchaeota	0.522768	34.7	714	697
Marine Group I thaumarchaeote SCGC AAA799-P11	Archaea	TACK group	Thaumarchaeota	1.08105	33.7	1453	1433
Marine Group I thaumarchaeote SCGC AB-629-A13	Archaea	TACK group	Thaumarchaeota	0.404769	35.7	0	0
Marine Group I thaumarchaeote SCGC AB-629-I23	Archaea	TACK group	Thaumarchaeota	1.3093	35.7	0	0
Marine Group I thaumarchaeote SCGC RSA3	Archaea	TACK group	Thaumarchaeota	1.85193	34.0	2459	2412
Marine Group II euryarchaeote SCGC AB-629-J06	Archaea	Euryarchaeota	unclassified Euryarchaeota	0.534847	34.1	0	0
Marine Group III euryarchaeote SCGC AAA007-O11	Archaea	Euryarchaeota	unclassified Euryarchaeota	0.233168	47.0	0	0
Marine Group III euryarchaeote SCGC AAA288-E19	Archaea	Euryarchaeota	unclassified Euryarchaeota	0.474487	50.0	0	0
Marine group II euryarchaeote SCGC AAA288-C18	Archaea	Euryarchaeota	unclassified Euryarchaeota	0.429678	56.8	0	0
Metallosphaera cuprina	Archaea	TACK group	Crenarchaeota	1.84035	0	0	0
Metallosphaera hakonensis	Archaea	TACK group	Crenarchaeota	2.38791	0	0	0
Metallosphaera sedula	Archaea	TACK group	Crenarchaeota	2.19152	46.2	2353	2280
Metallosphaera yellowstonensis	Archaea	TACK group	Crenarchaeota	2.81745	0	0	0
Methanobacteriaceae archaeon 41_258	Archaea	Euryarchaeota	Methanobacteria	1.35651	40.7	1599	1599
Methanobacterium	Archaea	Euryarchaeota	Methanobacteria	2.49072	0	0	0
Methanobacterium arcticum	Archaea	Euryarchaeota	Methanobacteria	3.39392	33.2	3256	3151
Methanobacterium formicicum	Archaea	Euryarchaeota	Methanobacteria	2.68427	41.3	2417	2346
Methanobacterium lacus	Archaea	Euryarchaeota	Methanobacteria	2.58375	35.8	2513	2440
Methanobacterium paludis	Archaea	Euryarchaeota	Methanobacteria	2.54654	35.7	2428	2346
Methanobacterium veterum	Archaea	Euryarchaeota	Methanobacteria	3.36956	33.2	3232	3134
Methanobrevibacter	Archaea	Euryarchaeota	Methanobacteria	2.2733	0	0	0
Methanobrevibacter arboriphilus	Archaea	Euryarchaeota	Methanobacteria	2.22192	0	0	0
Methanobrevibacter boviskoreani	Archaea	Euryarchaeota	Methanobacteria	2.0458	0	0	0
Methanobrevibacter millerae	Archaea	Euryarchaeota	Methanobacteria	2.54354	31.8	2300	2194
Methanobrevibacter olleyae	Archaea	Euryarchaeota	Methanobacteria	2.20119	26.9	1876	1834
Methanobrevibacter oralis	Archaea	Euryarchaeota	Methanobacteria	2.10783	0	0	0
Methanobrevibacter ruminantium	Archaea	Euryarchaeota	Methanobacteria	2.9372	0	0	0
Methanobrevibacter smithii	Archaea	Euryarchaeota	Methanobacteria	1.85316	31.5	1686	1588
Methanobrevibacter smithii CAG:186	Archaea	Euryarchaeota	Methanobacteria	1.72997	31.2	1740	1706
Methanobrevibacter wolinii	Archaea	Euryarchaeota	Methanobacteria	2.04181	0	0	0
Methanocalculus	Archaea	Euryarchaeota	Methanomicrobia	1.97379	0	0	0
Methanocaldococcus	Archaea	Euryarchaeota	Methanococci	1.77314	0	0	0
Methanocaldococcus bathoardescens	Archaea	Euryarchaeota	Methanococci	1.60756	30.8	1693	1609
Methanocaldococcus fervens	Archaea	Euryarchaeota	Methanococci	1.50725	0	0	0
Methanocaldococcus infernus	Archaea	Euryarchaeota	Methanococci	1.32819	0	0	0
Methanocaldococcus jannaschii	Archaea	Euryarchaeota	Methanococci	1.73993	0	0	0
Methanocaldococcus villosus	Archaea	Euryarchaeota	Methanococci	1.24938	0	0	0
Methanocaldococcus vulcanius	Archaea	Euryarchaeota	Methanococci	1.76174	0	0	0
Methanocella arvoryzae	Archaea	Euryarchaeota	Methanomicrobia	3.17992	0	0	0
Methanocella conradii	Archaea	Euryarchaeota	Methanomicrobia	2.37844	0	0	0
Methanocella paludicola	Archaea	Euryarchaeota	Methanomicrobia	2.95763	0	0	0
Methanococcoides burtonii	Archaea	Euryarchaeota	Methanomicrobia	2.57503	0	0	0
Methanococcoides methylutens	Archaea	Euryarchaeota	Methanomicrobia	2.39464	42.5	2453	2342
Methanococcus aeolicus	Archaea	Euryarchaeota	Methanococci	1.5695	0	0	0
Methanococcus maripaludis	Archaea	Euryarchaeota	Methanococci	1.77269	0	0	0
Methanococcus vannielii	Archaea	Euryarchaeota	Methanococci	1.72005	0	0	0
Methanococcus voltae	Archaea	Euryarchaeota	Methanococci	1.93639	0	0	0
Methanocorpusculum bavaricum	Archaea	Euryarchaeota	Methanomicrobia	1.70678	0	0	0
Methanocorpusculum labreanum	Archaea	Euryarchaeota	Methanomicrobia	1.80496	0	0	0
Methanoculleus	Archaea	Euryarchaeota	Methanomicrobia	2.48972	0	0	0
Methanoculleus bourgensis	Archaea	Euryarchaeota	Methanomicrobia	2.78977	0	0	0
Methanoculleus chikugoensis	Archaea	Euryarchaeota	Methanomicrobia	2.62754	0	0	0
Methanoculleus marisnigri	Archaea	Euryarchaeota	Methanomicrobia	2.4781	62.3	2106	2106
Methanoculleus thermophilus	Archaea	Euryarchaeota	Methanomicrobia	2.22323	59.3	0	0
Methanofollis ethanolicus	Archaea	Euryarchaeota	Methanomicrobia	2.71391	60.3	0	0
Methanofollis liminatans	Archaea	Euryarchaeota	Methanomicrobia	2.4751	0	0	0
Methanogenium cariaci	Archaea	Euryarchaeota	Methanomicrobia	2.68664	0	0	0
Methanohalobium evestigatum	Archaea	Euryarchaeota	Methanomicrobia	2.40623	0	0	0
Methanohalophilus	Archaea	Euryarchaeota	Methanomicrobia	1.95242	0	0	0
Methanohalophilus mahii	Archaea	Euryarchaeota	Methanomicrobia	2.01242	0	0	0
Methanolacinia paynteri	Archaea	Euryarchaeota	Methanomicrobia	2.7917	47.5	2785	2665
Methanolacinia petrolearia	Archaea	Euryarchaeota	Methanomicrobia	2.84329	0	0	0
Methanolinea	Archaea	Euryarchaeota	Methanomicrobia	2.16581	0	0	0
Methanolinea tarda	Archaea	Euryarchaeota	Methanomicrobia	2.05286	0	0	0
Methanolobus	Archaea	Euryarchaeota	Methanomicrobia	2.65404	0	0	0
Methanolobus psychrophilus	Archaea	Euryarchaeota	Methanomicrobia	3.07277	0	0	0
Methanolobus tindarius	Archaea	Euryarchaeota	Methanomicrobia	3.15188	0	0	0
Methanomassiliicoccales archaeon RumEn M1	Archaea	Euryarchaeota	Thermoplasmata	2.12103	62.1	2271	1877
Methanomassiliicoccales archaeon RumEn M2	Archaea	Euryarchaeota	Thermoplasmata	1.2808	54.6	1418	1175
Methanomassiliicoccus luminyensis	Archaea	Euryarchaeota	Thermoplasmata	2.62023	0	0	0
Methanomethylovorans hollandica	Archaea	Euryarchaeota	Methanomicrobia	2.71401	0	0	0
Methanomicrobia archaeon DTU008	Archaea	Euryarchaeota	Methanomicrobia	1.76231	58.8	0	0
Methanomicrobiales archaeon 53_19	Archaea	Euryarchaeota	Methanomicrobia	2.62923	52.5	2864	2864
Methanomicrobium mobile	Archaea	Euryarchaeota	Methanomicrobia	1.71179	0	0	0
Methanoplanus limicola	Archaea	Euryarchaeota	Methanomicrobia	3.20095	0	0	0
Methanopyrus kandleri	Archaea	Euryarchaeota	Methanopyri	1.69497	0	0	0
Methanoregula boonei	Archaea	Euryarchaeota	Methanomicrobia	2.54294	0	0	0
Methanoregula formicica	Archaea	Euryarchaeota	Methanomicrobia	2.82086	0	0	0
Methanosaeta	Archaea	Euryarchaeota	Methanomicrobia	2.29859	0	0	0
Methanosaeta concilii	Archaea	Euryarchaeota	Methanomicrobia	3.02664	0	0	0
Methanosaeta harundinacea	Archaea	Euryarchaeota	Methanomicrobia	2.57103	56.7	2441	2441
Methanosaeta thermophila	Archaea	Euryarchaeota	Methanomicrobia	1.87947	0	0	0
Methanosalsum zhilinae	Archaea	Euryarchaeota	Methanomicrobia	2.13844	0	0	0
Methanosarcina	Archaea	Euryarchaeota	Methanomicrobia	4.07463	0	0	0
Methanosarcina acetivorans	Archaea	Euryarchaeota	Methanomicrobia	5.75149	0	0	0
Methanosarcina barkeri	Archaea	Euryarchaeota	Methanomicrobia	4.56045	0	0	0
Methanosarcina flavescens	Archaea	Euryarchaeota	Methanomicrobia	3.26809	41.3	2838	2652
Methanosarcina horonobensis	Archaea	Euryarchaeota	Methanomicrobia	5.01861	0	0	0
Methanosarcina lacustris	Archaea	Euryarchaeota	Methanomicrobia	4.13981	0	0	0
Methanosarcina mazei	Archaea	Euryarchaeota	Methanomicrobia	4.09635	41.7	3615	3434
Methanosarcina siciliae	Archaea	Euryarchaeota	Methanomicrobia	5.01756	0	0	0
Methanosarcina soligelidi	Archaea	Euryarchaeota	Methanomicrobia	4.0645	41.5	3485	3345
